study_status,sponsor,enrollment,study_type,study_design,study_duration_days,sex_all,sex_female,sex_male,has_child,has_adult,has_older_adult,phase1,phase2,phase3,funder_fed,funder_indiv,funder_industry,funder_network,funder_nih,funder_other,funder_other_gov,funder_unknown,missing_start_date,missing_primary_completion_date,missing_completion_date
0,9,118,0,118,1401.0,True,False,False,0,1,0,0,0,1,False,False,False,False,False,True,False,False,1,1,1
0,9,42,0,118,1401.0,True,False,False,0,1,1,0,0,1,False,False,False,False,False,True,False,False,1,1,1
1,9,36,0,106,639.0,False,False,True,0,1,1,1,1,0,False,False,False,False,False,True,False,False,0,0,0
1,9,72,0,118,1401.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,0,1,1
1,9,350,0,106,1401.0,True,False,False,0,1,1,0,1,0,False,False,True,False,False,False,False,False,0,1,1
0,9,74,0,124,694.0,True,False,False,0,1,1,0,1,1,False,False,False,False,False,True,False,False,0,0,0
0,9,58,0,106,1034.0,True,False,False,0,1,1,0,1,0,False,False,True,False,False,False,False,False,0,0,0
1,9,28,0,124,1035.0,True,False,False,0,1,1,0,0,1,False,False,False,False,False,True,False,False,0,0,0
1,9,6,0,15,1401.0,True,False,False,0,1,0,0,1,0,False,False,False,False,False,True,False,False,0,1,1
1,9,112,0,159,1401.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,0,1,1
1,9,126,0,115,1401.0,True,False,False,0,1,1,0,0,1,False,False,False,False,False,True,False,False,0,1,1
1,9,13,0,15,820.0,True,False,False,0,1,1,1,1,0,False,False,True,False,False,False,False,False,0,0,0
1,9,240,0,124,834.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,0,0,0
1,9,114,0,37,1494.0,True,False,False,1,1,0,0,1,0,False,False,False,False,False,True,False,False,0,0,0
1,9,432,0,124,443.0,True,False,False,0,1,1,0,1,0,False,False,True,False,False,False,False,False,0,0,0
1,9,64,0,124,1401.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,0,1,1
1,9,166,0,124,2450.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,0,0,0
0,9,150,0,102,1401.0,True,False,False,0,1,1,0,1,0,False,False,True,False,False,False,False,False,1,1,1
0,9,36,0,61,1401.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,1,1,1
1,9,1500,0,67,578.0,False,True,False,0,1,1,0,0,1,False,False,False,False,False,True,False,False,0,0,0
1,9,134,0,124,569.0,True,False,False,0,1,1,0,1,0,False,False,True,False,False,False,False,False,0,0,0
1,9,30,0,15,3948.0,True,False,False,1,1,1,0,0,1,False,False,False,False,True,False,False,False,0,0,0
1,9,16,0,115,905.0,True,False,False,1,1,0,0,1,0,False,False,True,False,False,False,False,False,0,0,0
0,9,40,0,124,1401.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,1,1,1
1,9,500,0,118,1401.0,False,True,False,0,1,0,0,0,1,False,False,False,False,False,True,False,False,0,1,1
1,9,90,0,124,1401.0,True,False,False,0,1,1,0,1,0,False,False,True,False,False,False,False,False,0,1,1
1,9,120,0,118,1389.0,True,False,False,1,1,0,0,1,0,False,False,False,False,False,True,False,False,0,0,0
1,9,72,0,148,1401.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,0,0,1
1,9,36,0,26,1217.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,0,0,0
1,9,3,0,15,1401.0,True,False,False,0,1,0,0,1,0,False,False,False,False,False,True,False,False,0,1,1
1,9,32,0,15,487.0,False,False,True,0,1,1,0,1,1,False,False,False,False,False,True,False,False,0,0,0
1,9,30,0,14,730.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,0,0,0
1,9,20,0,118,518.0,True,False,False,1,1,0,0,1,1,False,False,False,False,False,True,False,False,0,0,0
0,9,122,0,124,1401.0,True,False,False,0,1,1,0,0,1,False,False,False,False,False,True,False,False,1,1,1
1,9,200,0,15,1401.0,True,False,False,0,1,1,1,1,0,False,False,False,False,False,True,False,False,0,1,1
1,9,54,0,150,1401.0,True,False,False,0,1,1,0,0,1,False,False,False,False,False,True,False,False,0,1,1
1,9,150,0,118,1401.0,True,False,False,1,1,1,0,0,1,False,False,False,False,False,True,False,False,0,1,1
1,9,320,0,124,1401.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,0,1,1
1,9,256,0,114,1696.0,True,False,False,0,1,1,0,0,1,False,False,False,False,False,True,False,False,0,0,0
1,9,120,0,118,1864.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,0,0,0
0,9,60,0,167,1401.0,False,True,False,0,1,0,0,1,0,False,False,False,False,False,True,False,False,1,1,1
1,4,64,0,169,321.0,True,False,False,0,1,1,0,1,0,False,False,True,False,False,False,False,False,0,0,0
1,9,10,0,15,900.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,0,0,0
1,9,450,0,124,1401.0,True,False,False,0,1,1,0,0,1,False,False,False,False,False,True,False,False,0,1,1
0,9,216,0,106,409.0,True,False,False,0,1,1,0,1,0,False,False,True,False,False,False,False,False,0,0,0
0,9,600,0,106,1401.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,1,1,1
0,9,200,0,106,791.0,True,False,False,0,1,1,0,1,0,False,False,True,False,False,False,False,False,0,0,0
0,9,160,0,106,579.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,0,0,0
0,9,465,0,106,1401.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,1,1,1
1,9,905,0,106,1401.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,0,1,1
0,9,42,0,75,1401.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,1,1,1
1,9,140,0,124,1175.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,0,0,0
1,9,50,0,150,1401.0,True,False,False,0,1,1,0,0,1,False,False,False,False,False,True,False,False,0,1,1
1,9,221,0,124,600.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,0,0,0
1,9,115,0,124,1839.0,True,False,False,0,1,1,0,0,1,False,False,False,False,False,True,False,False,0,0,0
1,9,60,0,179,630.0,True,False,False,0,1,1,1,1,0,False,False,False,False,False,True,False,False,0,0,0
1,9,52,0,15,3380.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,0,0,0
1,9,60,0,106,1401.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,0,1,1
1,9,64,0,94,2038.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,0,0,0
1,9,120,0,124,1401.0,True,False,False,0,1,1,1,1,0,False,False,True,False,False,False,False,False,0,1,1
1,9,15,0,54,732.0,True,False,False,0,1,1,0,1,1,False,False,False,False,False,True,False,False,0,0,0
1,9,720,0,113,788.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,0,1,0
1,9,130,0,118,5113.0,True,False,False,0,1,1,0,0,1,False,False,False,False,False,True,False,False,0,0,0
1,9,40,0,15,1401.0,True,False,False,0,1,1,1,1,0,False,False,True,False,False,False,False,False,0,1,1
0,9,210,0,124,791.0,True,False,False,0,1,1,0,0,1,False,False,False,False,False,True,False,False,0,0,0
1,9,100,0,15,1401.0,True,False,False,0,1,1,0,1,0,False,False,True,False,False,False,False,False,0,1,1
1,9,40,0,150,1592.0,True,False,False,0,1,1,0,1,0,False,False,True,False,False,False,False,False,0,0,0
1,9,230,0,124,946.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,0,0,0
1,9,240,0,106,1401.0,True,False,False,0,1,1,0,1,0,False,False,True,False,False,False,False,False,0,1,1
0,9,150,0,118,1401.0,True,False,False,0,1,1,0,0,1,False,False,False,False,False,True,False,False,0,1,1
0,9,380,0,118,912.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,0,0,0
1,9,24,0,124,1401.0,True,False,False,0,1,1,0,1,1,False,False,False,False,False,True,False,False,0,1,1
1,9,420,0,106,940.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,0,0,0
1,9,100,0,111,1401.0,True,False,False,0,1,1,1,1,0,False,False,False,False,False,True,False,False,0,1,1
1,9,15,0,160,1401.0,True,False,False,0,1,1,1,1,0,False,False,True,False,False,False,False,False,0,1,1
